,Sequence_ids,Sequence_times,SessionTime_Reference
551,"[21, 16, 63, 37, 72]","[0.2920999999998912, 0.2695000000001073, 0.1993999999999687, 0.2154000000000451, 1.1259999999999764]","[1462.5598, 1462.8519, 1463.1214, 1463.3208, 1463.5362]"
552,"[21, 13, 32]","[0.3007999999999811, 0.46060000000011314, 0.5584999999998672]","[1464.6622, 1464.963, 1465.4236]"
553,"[21, 16, 63, 37, 72]","[0.296500000000151, 0.25309999999990396, 0.21019999999998618, 0.22620000000006257, 1.3096000000000458]","[1465.9821, 1466.2786, 1466.5317, 1466.7419, 1466.9681]"
554,"[21, 16, 63, 37, 72]","[0.2705000000000837, 0.32569999999986976, 0.1958999999999378, 0.23860000000013315, 1.805699999999888]","[1468.2777, 1468.5482000000002, 1468.8739, 1469.0698, 1469.3084000000001]"
555,"[21, 16, 63, 37, 72]","[0.31520000000000437, 0.27749999999991815, 0.19010000000002947, 0.22530000000006112, 1.7222000000001572]","[1471.1141, 1471.4293, 1471.7068, 1471.8969, 1472.1222]"
556,"[21, 16, 63, 37, 72]","[0.33159999999998035, 0.2621999999998934, 0.20070000000009713, 0.209999999999809, 1.0499999999999545]","[1473.8444000000002, 1474.1760000000002, 1474.4382, 1474.6389000000001, 1474.8489]"
557,"[21, 13, 32]","[0.2717000000000098, 0.4912000000001626, 0.48339999999984684]","[1475.8989, 1476.1706, 1476.6618]"
558,"[26, 66, 63, 37, 72]","[0.49510000000009313, 0.1450999999999567, 0.2800999999999476, 0.22790000000009059, 0.7237999999999829]","[1477.1452, 1477.6403, 1477.7854, 1478.0655, 1478.2934]"
559,"[21, 16, 63, 37, 72]","[0.2625000000000455, 0.3040000000000873, 0.2075999999999567, 0.2581000000000131, 1.4623999999998887]","[1479.0172, 1479.2797, 1479.5837000000001, 1479.7913, 1480.0494]"
560,"[21, 16, 63, 37, 72]","[0.3124000000000251, 0.26089999999999236, 0.24489999999991596, 0.21649999999999636, 1.165899999999965]","[1481.5118, 1481.8242, 1482.0851, 1482.33, 1482.5465]"
561,"[21, 16, 63, 37, 72]","[0.240099999999984, 0.3025000000000091, 0.1932000000001608, 0.21069999999986067, 1.5576000000000931]","[1483.7124, 1483.9524999999999, 1484.2549999999999, 1484.4482, 1484.6589]"
562,"[21, 16, 63, 37, 72]","[0.27070000000003347, 0.28379999999992833, 0.19200000000000728, 0.2221999999999298, 1.1385000000000218]","[1486.2165, 1486.4872, 1486.771, 1486.963, 1487.1852]"
563,"[21, 16, 63, 37, 72]","[0.28330000000005384, 0.24929999999994834, 0.27870000000007167, 0.21640000000002146, 0.7539000000001579]","[1488.3237, 1488.607, 1488.8563, 1489.135, 1489.3514]"
564,"[21, 13, 37, 72]","[0.25699999999983447, 0.4639999999999418, 0.3065000000001419, 0.3749000000000251]","[1490.1053000000002, 1490.3623, 1490.8263, 1491.1328]"
565,"[21, 16, 63, 37, 72]","[0.31179999999994834, 0.23849999999993088, 0.3345000000001619, 0.23539999999979955, 1.2587000000000899]","[1491.5077, 1491.8195, 1492.058, 1492.3925000000002, 1492.6279]"
566,"[21, 16, 63, 37, 72]","[0.29539999999997235, 0.2941000000000713, 0.19899999999984175, 0.2962999999999738, 1.4610999999999876]","[1493.8866, 1494.182, 1494.4761, 1494.6751, 1494.9714]"
567,"[21, 16, 63, 37, 72]","[0.31330000000002656, 0.3148000000001048, 0.19349999999985812, 0.28520000000003165, 1.2000000000000455]","[1496.4325, 1496.7458, 1497.0606, 1497.2540999999999, 1497.5393]"
568,"[21, 16, 63, 37, 72]","[0.27539999999999054, 0.3203000000000884, 0.209999999999809, 0.30320000000006075, 1.1554000000000997]","[1498.7393, 1499.0147, 1499.335, 1499.5449999999998, 1499.8482]"
569,"[21, 16, 66, 63, 37, 72]","[0.2824000000000524, 0.26969999999982974, 0.10329999999999018, 0.2213000000001557, 0.19399999999995998, 1.1213999999999942]","[1501.0036, 1501.286, 1501.5557, 1501.6589999999999, 1501.8803, 1502.0743]"
570,"[21, 16, 63, 37, 72]","[0.28680000000008476, 0.23820000000000618, 0.2078999999998814, 0.20800000000008367, 1.9234000000001288]","[1503.1957, 1503.4825, 1503.7207, 1503.9286, 1504.1366]"
571,"[21, 16, 63, 37, 72]","[0.4581999999998061, 0.2643000000000484, 0.19890000000009422, 0.21029999999996107, 1.674199999999928]","[1506.0600000000002, 1506.5182, 1506.7825, 1506.9814000000001, 1507.1917]"
572,"[21, 13, 32]","[0.3447999999998501, 0.44610000000011496, 0.5869999999999891]","[1508.8659, 1509.2106999999999, 1509.6568]"
573,"[26, 63, 37, 72]","[0.6618999999998323, 0.25830000000019027, 0.2847999999999047, 0.9020000000000437]","[1510.2438, 1510.9056999999998, 1511.164, 1511.4488]"
574,"[21, 16, 66, 63, 37, 72]","[0.28340000000002874, 0.30330000000003565, 0.1595999999999549, 0.25319999999987886, 0.24720000000002074, 0.8339000000000851]","[1512.3508, 1512.6342, 1512.9375, 1513.0971, 1513.3502999999998, 1513.5974999999999]"
575,"[21, 16, 63, 33, 37, 72]","[0.3091999999999189, 0.23080000000004475, 0.21489999999994325, 0.14970000000016626, 0.21899999999982356, 1.3786000000002332]","[1514.4314, 1514.7405999999999, 1514.9714, 1515.1862999999998, 1515.336, 1515.5549999999998]"
576,"[21, 16, 63, 37, 72]","[0.2742000000000644, 0.24939999999992324, 0.240099999999984, 0.21199999999998909, 1.1725000000001273]","[1516.9336, 1517.2078000000001, 1517.4572, 1517.6973, 1517.9093]"
577,"[21, 16, 63, 37, 72]","[0.2666999999999007, 0.27350000000001273, 0.19630000000006476, 0.286200000000008, 1.132799999999861]","[1519.0818000000002, 1519.3485, 1519.622, 1519.8183000000001, 1520.1045000000001]"
578,"[21, 16, 63, 37, 72]","[0.2945999999999458, 0.27559999999994034, 0.21490000000017062, 0.26949999999987995, 1.2068000000001575]","[1521.2373, 1521.5319, 1521.8075, 1522.0224, 1522.2919]"
579,"[21, 16]","[0.309099999999944, 0.23759999999992942]","[1523.4987, 1523.8078]"
580,"[63, 37, 72]","[0.21239999999988868, 0.3000999999999294, 1.4846000000000004]","[1524.0929, 1524.3053, 1524.6054]"
581,"[21, 16, 63, 37, 72]","[0.2818999999999505, 0.28480000000013206, 0.21270000000004075, 0.21669999999994616, 1.2175999999999476]","[1526.09, 1526.3718999999999, 1526.6567, 1526.8694, 1527.0861]"
582,[22],[0.061100000000124055],[1528.3037]
583,"[21, 13, 37, 72]","[0.23959999999988213, 0.4631000000001677, 0.33150000000000546, 0.27969999999982065]","[1528.3648, 1528.6044, 1529.0675, 1529.3990000000001]"
584,"[21, 16]","[0.2826000000000022, 0.23420000000010077]","[1529.6787, 1529.9613]"
585,"[63, 37, 72]","[0.2693000000001575, 0.2344999999997981, 1.6341999999999643]","[1530.2175, 1530.4868000000001, 1530.7213]"
586,"[21, 16, 63, 37, 72]","[0.2574000000001888, 0.292699999999968, 0.2175999999999476, 0.22149999999987813, 1.6799000000000888]","[1532.3555, 1532.6129, 1532.9056, 1533.1232, 1533.3446999999999]"
587,"[21, 16, 63, 37, 72]","[0.33989999999994325, 0.26299999999991996, 0.22070000000007894, 0.2119000000000142, 1.432700000000068]","[1535.0246, 1535.3645, 1535.6274999999998, 1535.8482, 1536.0601]"
588,"[21, 16]","[0.3188999999999851, 0.21839999999997417]","[1537.4928, 1537.8117]"
589,"[63, 37, 72]","[0.21829999999999927, 0.2255999999999858, 0.7522000000001299]","[1538.0699, 1538.2882, 1538.5138]"
590,"[21, 16, 63, 37, 72]","[0.3149999999998272, 0.24459999999999127, 0.22280000000000655, 0.20500000000015461, 1.830900000000156]","[1539.266, 1539.581, 1539.8256, 1540.0484, 1540.2534]"
591,"[21, 16, 63, 37, 72]","[0.32229999999981374, 0.22860000000014224, 0.21979999999985012, 0.20830000000000837, 0.7246999999999844]","[1542.0843000000002, 1542.4066, 1542.6352000000002, 1542.855, 1543.0633]"
592,"[21, 16]","[0.27690000000006876, 0.2535000000000309]","[1543.788, 1544.0649]"
593,"[63, 37, 72]","[0.21010000000001128, 0.2055000000000291, 1.9915000000000873]","[1544.3506, 1544.5607, 1544.7662]"
594,"[21, 16, 63, 37, 72]","[0.32579999999984466, 0.22420000000010987, 0.22139999999990323, 0.21890000000007603, 0.9885000000001583]","[1546.7577, 1547.0835, 1547.3077, 1547.5291, 1547.748]"
595,"[21, 16, 63, 33, 37, 72]","[0.3260999999999967, 0.23299999999994725, 0.23099999999999454, 0.10539999999991778, 0.21230000000014115, 0.6632999999997082]","[1548.7365000000002, 1549.0626000000002, 1549.2956000000001, 1549.5266000000001, 1549.632, 1549.8443000000002]"
596,"[21, 16, 63, 37, 72]","[0.2535000000000309, 0.2315000000000964, 0.22890000000006694, 0.22769999999991342, 1.248700000000099]","[1550.5076, 1550.7611, 1550.9926, 1551.2215, 1551.4492]"
597,"[26, 63, 31, 16, 63, 37, 72]","[0.4837999999999738, 0.3006000000000313, 0.42409999999995307, 0.2319999999999709, 0.2316000000000713, 0.21949999999992542, 1.9919999999999618]","[1552.6979000000001, 1553.1817, 1553.4823000000001, 1553.9064, 1554.1384, 1554.3700000000001, 1554.5895]"
598,"[21, 16, 63, 37, 72]","[0.8065000000001419, 0.2746999999999389, 0.2076999999999316, 0.19170000000008258, 1.797399999999925]","[1556.5815, 1557.3880000000001, 1557.6627, 1557.8704, 1558.0621]"
599,"[26, 61, 16, 63, 37, 72]","[0.5797000000000025, 0.270799999999781, 0.2393000000001848, 0.24799999999981992, 0.1954000000000633, 0.7034000000001015]","[1559.8595, 1560.4392, 1560.7099999999998, 1560.9493, 1561.1972999999998, 1561.3926999999999]"
600,"[21, 16, 63, 37, 72]","[0.27340000000003783, 0.2500999999999749, 0.20859999999993306, 0.2255999999999858, 0.6612999999999829]","[1562.0961, 1562.3695, 1562.6196, 1562.8282, 1563.0538]"
601,"[26, 62]","[0.5077000000001135, 0.4593999999999596]","[1563.7151, 1564.2228]"
602,"[21, 16, 63, 37, 72]","[0.30160000000000764, 0.2038000000000011, 0.24900000000002365, 0.24869999999987158, 1.3494000000000597]","[1564.6822, 1564.9838, 1565.1876, 1565.4366, 1565.6852999999999]"
603,"[21, 16, 63, 37, 72]","[0.3162999999999556, 0.21749999999997272, 0.23440000000005057, 0.3105000000000473, 1.5588999999999942]","[1567.0347, 1567.3509999999999, 1567.5684999999999, 1567.8029, 1568.1134]"
604,"[21, 16, 63, 37, 72]","[0.3043999999999869, 0.24240000000008877, 0.23479999999995016, 0.23230000000012296, 1.191899999999805]","[1569.6723, 1569.9767, 1570.2191, 1570.4539, 1570.6862]"
605,"[21, 16, 63, 37, 72]","[0.2638999999999214, 0.2296000000001186, 0.2323999999998705, 0.2703000000001339, 1.4647999999999683]","[1571.8781, 1572.1419999999998, 1572.3716, 1572.6039999999998, 1572.8743]"
606,"[21, 11, 16, 63, 37, 72]","[0.3138000000001284, 0.197400000000016, 0.23649999999997817, 0.22720000000003893, 0.23469999999997526, 1.2851000000000568]","[1574.3391, 1574.6529, 1574.8503, 1575.0868, 1575.314, 1575.5487]"
607,"[26, 66, 61, 13, 37, 72]","[0.5399999999999636, 0.0702000000001135, 0.3795999999999822, 0.4533999999998741, 0.2840000000001055, 0.33379999999988286]","[1576.8338, 1577.3738, 1577.4440000000002, 1577.8236000000002, 1578.277, 1578.5610000000001]"
608,"[21, 16, 63, 37, 72]","[0.2625000000000455, 0.24540000000001783, 0.2943000000000211, 0.2198000000000775, 0.6828999999997905]","[1578.8948, 1579.1573, 1579.4027, 1579.6970000000001, 1579.9168000000002]"
609,"[21, 13, 33, 37, 71, 16, 63, 37, 72]","[0.23039999999991778, 0.4537000000000262, 0.10210000000006403, 0.27099999999995816, 0.6546000000000731, 0.24479999999994106, 0.33570000000008804, 0.2178999999998723, 1.4664000000000215]","[1580.5997, 1580.8301, 1581.2838, 1581.3859, 1581.6569, 1582.3115, 1582.5563, 1582.892, 1583.1099]"
610,"[21, 16, 63, 33, 37, 72]","[0.2923000000000684, 0.34600000000000364, 0.2562000000000353, 0.10539999999991778, 0.21329999999989013, 1.8222000000000662]","[1584.5763, 1584.8686, 1585.2146, 1585.4708, 1585.5762, 1585.7894999999999]"
611,"[21, 16, 63, 37, 72]","[0.3242000000000189, 0.20859999999993306, 0.24099999999998545, 0.31570000000010623, 1.4398000000001048]","[1587.6117, 1587.9359, 1588.1444999999999, 1588.3854999999999, 1588.7012]"
612,"[21, 16, 63, 37, 72]","[0.27149999999983265, 0.26480000000015025, 0.21889999999984866, 0.20840000000021064, 1.476799999999912]","[1590.141, 1590.4125, 1590.6773, 1590.8962, 1591.1046000000001]"
613,"[26, 61, 16, 63, 37, 71, 11, 16, 62]","[0.5532999999998083, 0.6471000000001368, 0.20869999999990796, 0.23400000000015098, 0.19290000000000873, 1.0072999999999865, 0.5522000000000844, 0.46849999999994907, 0.5153000000000247]","[1592.5814, 1593.1346999999998, 1593.7818, 1593.9904999999999, 1594.2245, 1594.4174, 1595.4247, 1595.9769000000001, 1596.4454]"
614,"[21, 16, 63, 37, 72]","[0.4096999999999298, 0.29539999999997235, 0.20710000000008222, 0.32970000000000255, 1.2190999999997985]","[1596.9607, 1597.3704, 1597.6658, 1597.8729, 1598.2026]"
615,"[21, 16, 63, 37]","[0.29899999999997817, 0.1954000000000633, 0.251700000000028, 0.21859999999992397]","[1599.4216999999999, 1599.7206999999999, 1599.9161, 1600.1678]"
616,"[21, 16, 63, 33, 37, 72]","[0.30179999999995744, 0.24440000000004147, 0.26690000000007785, 0.07809999999994943, 0.20980000000008658, 1.11850000000004]","[1602.7097999999999, 1603.0115999999998, 1603.2559999999999, 1603.5229, 1603.6009999999999, 1603.8108]"
617,"[21, 16, 63, 37, 72]","[0.3262999999999465, 0.20060000000012224, 0.23669999999992797, 0.2159999999998945, 1.7940000000000964]","[1604.9293, 1605.2556, 1605.4562, 1605.6929, 1605.9089]"
618,"[21, 16, 63, 33, 37, 72]","[0.34019999999986794, 0.20680000000015752, 0.2647999999999229, 0.07490000000007058, 0.2062999999998283, 1.4442000000001372]","[1607.7029, 1608.0430999999999, 1608.2499, 1608.5147, 1608.5896, 1608.7958999999998]"
619,"[21, 16, 63, 37, 72]","[0.32599999999979445, 0.20780000000013388, 0.25070000000005166, 0.21139999999991232, 1.0089000000000397]","[1610.2401, 1610.5660999999998, 1610.7739, 1611.0246, 1611.2359999999999]"
620,"[21, 16, 63, 37, 72]","[0.2982999999999265, 0.2096000000001368, 0.24450000000001637, 0.2180999999998221, 0.9356000000002496]","[1612.2449, 1612.5431999999998, 1612.7528, 1612.9973, 1613.2153999999998]"
621,"[26, 66, 62]","[0.5225000000000364, 0.8566000000000713, 0.5287999999998192]","[1614.151, 1614.6735, 1615.5301000000002]"
622,"[26, 66, 61, 16, 63, 37, 72]","[0.475400000000036, 0.19080000000008113, 0.5004999999998745, 0.28480000000013206, 0.24129999999991014, 0.20460000000002765, 1.1563000000001011]","[1616.0589, 1616.5343, 1616.7251, 1617.2256, 1617.5104000000001, 1617.7517, 1617.9563]"
623,"[21, 16, 63, 37, 72]","[0.23730000000000473, 0.29189999999994143, 0.2665999999999258, 0.205600000000004, 1.5996000000000095]","[1619.1126000000002, 1619.3499000000002, 1619.6418, 1619.9084, 1620.114]"
624,"[21, 16, 63, 37, 72]","[0.30549999999993815, 0.24040000000013606, 0.2398000000000593, 0.20249999999987267, 1.1126000000001568]","[1621.7136, 1622.0191, 1622.2595000000001, 1622.4993000000002, 1622.7018]"
625,"[21, 16, 63, 37, 72]","[0.2760999999998148, 0.22450000000003456, 0.2298000000000684, 0.25090000000000146, 1.3161999999997533]","[1623.8144000000002, 1624.0905, 1624.315, 1624.5448000000001, 1624.7957000000001]"
626,"[21, 16, 66, 63, 37, 72]","[0.29970000000002983, 0.23070000000006985, 0.05309999999985848, 0.20720000000005712, 0.2336999999999989, 1.2201000000000022]","[1626.1118999999999, 1626.4116, 1626.6423, 1626.6953999999998, 1626.9026, 1627.1363]"
627,"[26, 61, 16, 63, 37, 72]","[0.5184000000001561, 0.38589999999999236, 0.2664999999999509, 0.2603999999998905, 0.1876999999999498, 0.8153000000002066]","[1628.3564, 1628.8748, 1629.2607, 1629.5272, 1629.7875999999999, 1629.9752999999998]"
628,"[26, 61, 16, 63, 37, 72]","[0.5154999999999745, 0.4882999999999811, 0.22060000000010405, 0.2644999999999982, 0.2076999999999316, 1.4671000000000731]","[1630.7906, 1631.3061, 1631.7944, 1632.015, 1632.2795, 1632.4872]"
629,"[21, 16, 63, 37, 72]","[0.29379999999991924, 0.28719999999998436, 0.22700000000008913, 0.20059999999989486, 1.4184999999999945]","[1633.9543, 1634.2481, 1634.5353, 1634.7623, 1634.9629]"
630,"[21, 13, 37, 76, 63, 37, 72]","[0.268100000000004, 0.6358999999999924, 0.2499000000000251, 0.8320000000001073, 0.2839999999998781, 0.2576000000001386, 0.9990999999997712]","[1636.3814, 1636.6495, 1637.2854, 1637.5353, 1638.3673000000001, 1638.6513, 1638.9089000000001]"
631,"[21, 16, 63, 33, 37, 72]","[0.2565999999999349, 0.2656000000001768, 0.27070000000003347, 0.14919999999983702, 0.2198000000000775, 0.6513999999999669]","[1639.908, 1640.1645999999998, 1640.4302, 1640.7009, 1640.8500999999999, 1641.0699]"
632,"[21, 11, 16, 66, 63, 37]","[0.2817000000000007, 0.1572000000001026, 0.22450000000003456, 0.07209999999986394, 0.18810000000007676, 0.20820000000003347]","[1641.7213, 1642.003, 1642.1602, 1642.3847, 1642.4568, 1642.6449]"
633,"[21, 16, 63, 37, 72]","[0.334999999999809, 0.2758000000001175, 0.3448000000000775, 0.23079999999981737, 1.105600000000095]","[1644.9286000000002, 1645.2636, 1645.5394000000001, 1645.8842000000002, 1646.115]"
634,"[21, 16, 63, 33, 37, 72]","[0.25279999999997926, 0.23959999999988213, 0.22649999999998727, 0.06310000000007676, 0.20900000000006003, 0.7359999999998763]","[1647.2206, 1647.4734, 1647.713, 1647.9395, 1648.0026, 1648.2116]"
635,"[21, 16, 63, 37, 72]","[0.24620000000004438, 0.2521999999999025, 0.22620000000006257, 0.20669999999995525, 1.498600000000124]","[1648.9476, 1649.1938, 1649.446, 1649.6722, 1649.8789]"
636,"[21, 16, 63, 37, 71, 16]","[0.29700000000002547, 0.20849999999995816, 0.24080000000003565, 0.2058999999999287, 0.8460999999999785, 0.7400000000000091]","[1651.3775, 1651.6745, 1651.883, 1652.1238, 1652.3297, 1653.1758]"
637,[62],[0.6023999999999887],[1679.0513]
638,"[21, 16]","[0.3507999999999356, 0.2943000000000211]","[1679.6537, 1680.0045]"
639,[62],[0.8096999999997934],[1680.3237000000001]
640,"[21, 16, 63, 37, 72]","[0.40970000000015716, 0.44069999999987886, 0.3220000000001164, 0.3626999999999043, 1.7536999999999807]","[1681.1334, 1681.5431, 1681.9838, 1682.3058, 1682.6685]"
641,"[21, 16, 66, 63, 37, 72]","[0.31740000000013424, 0.2748999999998887, 0.07280000000014297, 0.2177999999998974, 0.2155999999999949, 1.369799999999941]","[1684.4222, 1684.7396, 1685.0145, 1685.0873000000001, 1685.3051, 1685.5207]"
642,"[21, 16, 63, 37, 72]","[0.31340000000000146, 0.24520000000006803, 0.23860000000013315, 0.2076999999999316, 1.2238999999997304]","[1686.8905, 1687.2039, 1687.4491, 1687.6877000000002, 1687.8954]"
643,"[21, 11, 16, 66, 63, 37, 72]","[0.2860000000000582, 0.1409000000001015, 0.2256999999999607, 0.08619999999996253, 0.20990000000006148, 0.2137000000000171, 1.0813000000000557]","[1689.1192999999998, 1689.4053, 1689.5462, 1689.7719, 1689.8581, 1690.068, 1690.2817]"
644,"[21, 16, 63, 37, 72]","[0.3027999999999338, 0.23479999999995016, 0.22200000000020736, 0.22969999999986612, 1.2372000000000298]","[1691.363, 1691.6658, 1691.9006, 1692.1226000000001, 1692.3523]"
645,"[21, 16, 63, 37, 72]","[0.2944999999999709, 0.21410000000014406, 0.22829999999999018, 0.22929999999996653, 1.382899999999836]","[1693.5895, 1693.884, 1694.0981000000002, 1694.3264000000001, 1694.5557000000001]"
646,"[21, 16, 63, 37, 72]","[0.31559999999990396, 0.24510000000009313, 0.2599999999999909, 0.25469999999995707, 1.2292999999999665]","[1695.9386, 1696.2541999999999, 1696.4993, 1696.7593, 1697.014]"
647,"[21, 16, 63, 37, 72]","[0.3223000000000411, 0.2437999999999647, 0.23030000000017026, 0.26680000000010295, 0.27719999999999345]","[1698.2432999999999, 1698.5656, 1698.8093999999999, 1699.0397, 1699.3065000000001]"
648,"[21, 16, 63, 37, 72]","[0.3425999999999476, 0.21890000000007603, 0.24169999999980973, 0.20990000000006148, 1.0516000000000076]","[1699.5837000000001, 1699.9263, 1700.1452000000002, 1700.3869, 1700.5968]"
649,"[21, 16, 63, 37, 72]","[0.2859000000000833, 0.2401999999999589, 0.27549999999996544, 0.21499999999991815, 1.1567999999999756]","[1701.6484, 1701.9343000000001, 1702.1745, 1702.45, 1702.665]"
650,"[21, 16, 63, 37, 72]","[0.3040000000000873, 0.2139999999999418, 0.2414000000001124, 0.20239999999989777, 1.5489999999999782]","[1703.8218, 1704.1258, 1704.3398, 1704.5812, 1704.7836]"
651,"[26, 61, 16, 63, 37, 72]","[0.5820000000001073, 0.39439999999990505, 0.22270000000003165, 0.2658000000001266, 0.20029999999997017, 1.4210999999997966]","[1706.3326, 1706.9146, 1707.309, 1707.5317, 1707.7975000000001, 1707.9978]"
652,"[21, 16, 66, 63, 37, 72]","[0.2857000000001335, 0.22299999999995634, 0.384900000000016, 0.2644999999999982, 0.23279999999999745, 1.421100000000024]","[1709.4189, 1709.7046, 1709.9276, 1710.3125, 1710.577, 1710.8098]"
653,"[21, 16, 63, 37, 72]","[0.25720000000001164, 0.2503999999998996, 0.21730000000002292, 0.19190000000003238, 1.4951000000000931]","[1712.2309, 1712.4881, 1712.7385, 1712.9558, 1713.1477]"
654,"[21, 11, 16, 63, 37]","[0.2881999999999607, 0.051099999999905776, 0.19980000000009568, 0.27080000000000837, 0.1994999999999436]","[1714.6428, 1714.931, 1714.9821, 1715.1819, 1715.4527]"
655,[32],[0.2760000000000673],[1722.2391]
656,"[21, 16, 63, 37, 72]","[0.29189999999994143, 0.2599999999999909, 0.2882999999999356, 0.21430000000009386, 0.8219000000001415]","[1722.5151, 1722.807, 1723.067, 1723.3553, 1723.5696]"
657,"[21, 13, 37, 72]","[0.26099999999996726, 0.43830000000002656, 0.23139999999989413, 0.37609999999995125]","[1724.3915000000002, 1724.6525000000001, 1725.0908000000002, 1725.3222]"
658,"[21, 16, 63, 37, 72]","[0.2922000000000935, 0.21059999999988577, 0.22680000000013933, 0.23099999999999454, 1.0757999999998447]","[1725.6983, 1725.9905, 1726.2011, 1726.4279000000001, 1726.6589000000001]"
659,"[21, 11, 16, 63, 37, 72]","[0.2520999999999276, 0.0989999999999327, 0.23870000000010805, 0.21550000000002, 0.21959999999990032, 1.7039999999999509]","[1727.7347, 1727.9868, 1728.0857999999998, 1728.3245, 1728.54, 1728.7595999999999]"
660,[21],[0.3317000000001826],[1730.4635999999998]
661,[21],[0.9533999999998741],[1737.182]
662,"[84, 43, 32]","[0.4954999999999927, 0.3914999999999509, 0.2960000000000491]","[1765.9759, 1766.4714, 1766.8628999999999]"
663,"[21, 16, 63, 37]","[0.22749999999996362, 0.31140000000004875, 0.296500000000151, 0.19409999999993488]","[1767.1589, 1767.3863999999999, 1767.6978, 1767.9943]"
664,"[26, 67, 76, 67]","[0.39869999999996253, 0.5181999999999789, 0.39790000000016335, 0.557399999999916]","[1771.0281, 1771.4268, 1771.945, 1772.3429]"
665,"[61, 16, 63, 37, 72]","[0.7561000000000604, 0.3182999999999083, 0.2779000000000451, 0.2220999999999549, 1.194400000000087]","[1774.9453, 1775.7014000000001, 1776.0197, 1776.2976, 1776.5197]"
666,"[21, 16, 63, 37, 72]","[0.2807999999999993, 0.22049999999990177, 0.23739999999997963, 0.21920000000000073, 1.5751000000000204]","[1777.7141000000001, 1777.9949000000001, 1778.2154, 1778.4528, 1778.672]"
667,"[21, 16, 63, 37, 72]","[0.3186000000000604, 0.23540000000002692, 0.19219999999995707, 0.26319999999986976, 1.2295000000001437]","[1780.2471, 1780.5657, 1780.8011000000001, 1780.9933, 1781.2565]"
668,"[21, 16, 63, 37, 72]","[0.33969999999999345, 0.2079999999998563, 0.2297000000000935, 0.21239999999988868, 1.3120000000001255]","[1782.486, 1782.8257, 1783.0337, 1783.2634, 1783.4758]"
669,"[21, 16, 63, 37, 72]","[0.3079999999999927, 0.2439999999999145, 0.1874000000000251, 0.24739999999997053, 1.2128000000000156]","[1784.7878, 1785.0958, 1785.3398, 1785.5272, 1785.7746]"
670,"[26, 61, 16, 63, 37, 72]","[0.5352000000000317, 0.8152000000000044, 0.2558999999998832, 0.21390000000019427, 0.22179999999980282, 1.1259999999999764]","[1786.9874, 1787.5226, 1788.3378, 1788.5937, 1788.8076, 1789.0294]"
671,"[21, 16, 63, 37, 77, 72]","[0.29349999999999454, 0.24210000000016407, 0.21029999999996107, 0.21929999999997563, 1.5219999999999345, 0.2644999999999982]","[1790.1553999999999, 1790.4488999999999, 1790.691, 1790.9013, 1791.1206, 1792.6426]"
672,"[21, 16, 63, 37, 72]","[0.3117000000002008, 0.268100000000004, 0.24499999999989086, 0.2819999999999254, 1.1970000000001164]","[1792.9071, 1793.2188, 1793.4869, 1793.7319, 1794.0139]"
673,"[21, 16, 63, 37, 72]","[0.2880999999999858, 0.2218000000000302, 0.20879999999988286, 0.21749999999997272, 1.7911000000001422]","[1795.2109, 1795.499, 1795.7208, 1795.9296, 1796.1471]"
674,"[21, 12]","[0.3063999999999396, 0.8161000000000058]","[1797.9382, 1798.2446]"
675,"[21, 16, 63, 37, 72]","[0.28129999999987376, 0.19610000000011496, 0.22779999999988831, 0.2233000000001084, 1.1613999999999578]","[1799.0607, 1799.3419999999999, 1799.5381, 1799.7658999999999, 1799.9892]"
676,"[21, 16, 63, 37, 72]","[0.22660000000018954, 0.2582999999999629, 0.2336999999999989, 0.21329999999989013, 1.4355000000000473]","[1801.1506, 1801.3772000000001, 1801.6355, 1801.8692, 1802.0825]"
677,"[21, 16, 63, 37, 71, 12]","[0.2421999999999116, 0.41150000000016007, 0.22270000000003165, 0.21729999999979555, 1.0762999999999465, 0.832700000000159]","[1803.518, 1803.7602, 1804.1717, 1804.3944000000001, 1804.6117, 1805.6879999999999]"
678,"[21, 16, 63, 37, 72]","[0.5152000000000498, 0.28569999999990614, 0.21820000000002437, 0.25309999999990396, 1.309400000000096]","[1806.5207, 1807.0359, 1807.3216, 1807.5398, 1807.7929]"
679,"[21, 16, 63, 37, 72]","[0.2738999999999123, 0.20880000000011023, 0.2847999999999047, 0.22230000000013206, 1.2722999999998592]","[1809.1023, 1809.3762, 1809.585, 1809.8698, 1810.0921]"
680,"[21, 16, 63, 37, 72]","[0.3309999999999036, 0.2032000000001517, 0.20689999999990505, 0.21250000000009095, 1.4288000000001375]","[1811.3644, 1811.6953999999998, 1811.8986, 1812.1055, 1812.318]"
681,"[21, 16, 63, 37, 72]","[0.27739999999994325, 0.2521999999999025, 0.1938000000000102, 0.21720000000004802, 1.3355000000001382]","[1813.7468000000001, 1814.0242, 1814.2764, 1814.4702, 1814.6874]"
682,"[26, 61, 16, 63, 37]","[0.5483999999999014, 0.6515999999999167, 0.21790000000009968, 0.2155999999999949, 0.2159999999998945]","[1816.0229000000002, 1816.5713, 1817.2229, 1817.4408, 1817.6564]"
683,"[26, 61, 16, 63, 37, 72]","[0.5688000000000102, 0.3623999999999796, 0.21939999999995052, 0.22880000000009204, 0.2118000000000393, 1.4895000000001346]","[1820.7999, 1821.3687, 1821.7311, 1821.9505, 1822.1793, 1822.3911]"
