,Sequence_ids,Sequence_times,SessionTime_Reference
49,"[21, 12]","[0.35470000000000823, 0.1967999999999961]","[223.1463, 223.501]"
50,"[26, 63, 33, 37]","[0.0771000000000015, 0.2376000000000147, 0.08729999999999905, 0.2213999999999885]","[223.6978, 223.7749, 224.01250000000002, 224.09980000000002]"
51,[22],[0.14009999999998968],[226.3683]
52,"[21, 16, 63, 37, 72]","[0.3019999999999925, 0.3064999999999998, 0.21750000000000114, 0.2803000000000111, 1.4358999999999753]","[226.5084, 226.8104, 227.1169, 227.3344, 227.6147]"
53,"[21, 16, 63, 37, 72]","[0.4904000000000224, 0.26030000000000086, 0.24139999999999873, 0.22189999999997667, 0.9147000000000105]","[229.05059999999997, 229.541, 229.8013, 230.0427, 230.26459999999997]"
54,"[21, 16, 63, 33, 37]","[0.3856000000000108, 0.2563999999999851, 0.26670000000001437, 0.08840000000000714, 0.2255999999999858]","[231.17929999999998, 231.5649, 231.82129999999998, 232.088, 232.1764]"
55,"[21, 16, 63, 37]","[0.49020000000001573, 0.22649999999998727, 0.23470000000000368, 0.22849999999999682]","[234.5289, 235.0191, 235.2456, 235.4803]"
56,"[21, 16, 63, 37, 77, 72]","[0.4206999999999823, 0.254099999999994, 0.2318000000000211, 0.2266999999999939, 1.7045999999999992, 1.1067999999999927]","[239.07430000000002, 239.495, 239.7491, 239.98090000000002, 240.2076, 241.9122]"
57,[22],[0.1501999999999839],[243.019]
58,"[26, 66, 62]","[0.6136000000000195, 0.08339999999998327, 0.4709000000000003]","[243.1692, 243.7828, 243.8662]"
59,"[21, 16, 63, 37, 72]","[0.3894999999999982, 0.24630000000001928, 0.2565999999999917, 0.23609999999999332, 0.9955000000000211]","[244.3371, 244.7266, 244.9729, 245.2295, 245.4656]"
60,"[21, 16, 66, 63, 33, 37, 72]","[0.31790000000000873, 0.2598999999999876, 0.2313000000000045, 0.2557999999999936, 0.11060000000000514, 0.26089999999999236, 1.19459999999998]","[246.46110000000002, 246.77900000000002, 247.0389, 247.27020000000002, 247.526, 247.63660000000002, 247.8975]"
61,"[21, 16, 63, 37, 72]","[0.38040000000000873, 0.2757000000000005, 0.26300000000000523, 0.21680000000000632, 0.702699999999993]","[249.0921, 249.4725, 249.7482, 250.0112, 250.228]"
62,"[21, 16, 66, 63, 37, 72]","[0.32200000000000273, 0.2884999999999991, 0.11619999999999209, 0.2961999999999989, 0.23529999999999518, 1.0197000000000287]","[250.9307, 251.2527, 251.5412, 251.6574, 251.9536, 252.1889]"
63,"[21, 16, 63, 37, 72]","[0.36539999999999395, 0.28600000000000136, 0.273399999999981, 0.23910000000000764, 0.8772999999999911]","[253.20860000000002, 253.574, 253.86, 254.1334, 254.3725]"
64,"[21, 11, 16, 63, 37, 72]","[0.24809999999999377, 0.12540000000001328, 0.3748999999999967, 0.21769999999997935, 0.31110000000001037, 0.6304000000000087]","[255.2498, 255.4979, 255.6233, 255.9982, 256.2159, 256.527]"
65,"[21, 11, 16, 63, 37, 72]","[0.35729999999995243, 0.09360000000003765, 0.20359999999999445, 0.28640000000001464, 0.2085999999999899, 1.1591999999999985]","[257.1574, 257.51469999999995, 257.6083, 257.8119, 258.0983, 258.3069]"
66,"[21, 16, 63, 37, 72]","[0.39109999999999445, 0.2411999999999921, 0.2577999999999747, 0.21900000000005093, 1.7332000000000107]","[259.4661, 259.8572, 260.09839999999997, 260.35619999999994, 260.5752]"
67,[22],[0.12819999999999254],[262.3084]
68,"[21, 16, 66, 63, 37, 72]","[0.29820000000000846, 0.23929999999995744, 0.40300000000002, 0.280399999999986, 0.261099999999999, 1.5242000000000644]","[262.4366, 262.7348, 262.97409999999996, 263.3771, 263.65749999999997, 263.91859999999997]"
69,"[21, 16, 66, 63, 37, 72]","[0.35609999999996944, 0.26420000000001664, 0.06450000000000955, 0.26259999999996353, 0.20720000000000027, 1.783299999999997]","[265.44280000000003, 265.7989, 266.0631, 266.12760000000003, 266.3902, 266.5974]"
70,"[21, 16, 63, 33, 37, 72]","[0.44549999999998136, 0.2551000000000272, 0.28719999999998436, 0.22680000000002565, 0.23149999999998272, 1.3105999999999653]","[268.3807, 268.8262, 269.0813, 269.3685, 269.5953, 269.8268]"
71,"[21, 16, 63, 37]","[0.4621000000000208, 0.22820000000001528, 0.23359999999996717, 0.23230000000000928]","[271.13739999999996, 271.5995, 271.8277, 272.06129999999996]"
72,"[43, 32]","[0.26400000000001, 0.2839999999999918]","[274.704, 274.968]"
73,"[21, 16, 66, 63, 37, 72]","[0.3043999999999869, 0.33430000000004156, 0.06279999999998154, 0.23520000000002028, 0.24179999999995516, 1.206700000000012]","[275.252, 275.5564, 275.89070000000004, 275.9535, 276.18870000000004, 276.4305]"
74,"[21, 16, 63, 37]","[0.27439999999995734, 0.26370000000002847, 0.23539999999997008, 0.22509999999999764]","[277.6372, 277.91159999999996, 278.1753, 278.41069999999996]"
75,[22],[0.13360000000000127],[285.2344]
76,[22],[0.14280000000002246],[285.368]
77,"[21, 16, 66, 63, 37, 72]","[0.28890000000001237, 0.2722999999999729, 0.12990000000002055, 0.2389999999999759, 0.23419999999998709, 0.7652999999999679]","[285.5108, 285.79970000000003, 286.072, 286.2019, 286.4409, 286.6751]"
78,"[21, 16, 63, 37]","[0.30860000000001264, 0.30560000000002674, 0.2481999999999971, 0.22229999999996153]","[287.44039999999995, 287.74899999999997, 288.0546, 288.3028]"
79,"[26, 63, 37, 72]","[0.8061999999999898, 0.2755999999999972, 0.43870000000003984, 0.43929999999994607]","[291.7593, 292.5655, 292.8411, 293.2798]"
80,"[21, 16, 63, 37, 72]","[0.2953000000000543, 0.2307999999999879, 0.23230000000000928, 0.27369999999996253, 1.013400000000047]","[293.71909999999997, 294.0144, 294.2452, 294.4775, 294.7512]"
81,"[21, 16, 63, 37, 72]","[0.31009999999997717, 0.2754000000000474, 0.24039999999996553, 0.21649999999999636, 0.6877000000000066]","[295.76460000000003, 296.0747, 296.35010000000005, 296.5905, 296.807]"
82,"[21, 16, 63, 37, 72]","[0.3089999999999691, 0.24900000000002365, 0.24790000000001555, 0.24839999999994689, 1.3840000000000714]","[297.4947, 297.8037, 298.0527, 298.30060000000003, 298.549]"
83,"[21, 12]","[0.34319999999996753, 0.22759999999999536]","[299.93300000000005, 300.2762]"
84,"[26, 63, 37, 71, 16, 66, 62]","[0.09329999999999927, 0.2658000000000129, 0.2255999999999858, 1.404200000000003, 0.8473999999999933, 0.09679999999997335, 0.3334000000000401]","[300.5038, 300.5971, 300.8629, 301.0885, 302.4927, 303.3401, 303.4369]"
85,[22],[0.20310000000000628],[303.7703]
86,"[21, 16, 63, 37, 72]","[0.37999999999999545, 0.26259999999996353, 0.21309999999999718, 0.2451000000000363, 1.4991999999999734]","[303.9734, 304.3534, 304.616, 304.8291, 305.0742]"
87,[22],[0.12470000000001846],[306.5734]
88,"[21, 16, 63, 37]","[0.328899999999976, 0.2522000000000162, 0.2588999999999828, 0.19390000000004193]","[306.6981, 307.027, 307.2792, 307.5381]"
89,"[21, 16, 66, 63, 37, 72]","[0.39870000000001937, 0.23529999999999518, 0.1449999999999818, 0.3153000000000361, 0.21779999999995425, 1.3256000000000085]","[309.983, 310.3817, 310.617, 310.762, 311.07730000000004, 311.2951]"
90,"[21, 16, 63, 37, 72]","[0.30419999999998026, 0.2565000000000168, 0.27420000000000755, 0.266399999999976, 1.4001000000000658]","[312.6207, 312.9249, 313.1814, 313.4556, 313.722]"
91,"[21, 16, 63, 37, 72]","[0.422300000000007, 0.22019999999997708, 0.25169999999997117, 0.20890000000002829, 1.2770999999999617]","[315.12210000000005, 315.54440000000005, 315.76460000000003, 316.0163, 316.22520000000003]"
92,"[21, 16, 66, 63, 37, 72]","[0.39730000000002974, 0.21820000000002437, 0.31649999999996226, 0.271000000000015, 0.20229999999997972, 1.4787000000000035]","[317.5023, 317.8996, 318.11780000000005, 318.4343, 318.7053, 318.9076]"
93,"[21, 16, 63, 37, 72]","[0.4309999999999832, 0.1963000000000079, 0.35710000000000264, 0.202699999999993, 1.883199999999988]","[320.3863, 320.8173, 321.0136, 321.3707, 321.5734]"
94,[21],[0.43880000000001473],[323.4566]
95,"[26, 66, 67, 73, 33, 37, 72]","[0.2137000000000171, 0.06649999999996226, 0.436300000000017, 0.2787000000000148, 0.1623000000000161, 0.23749999999995453, 1.2989000000000601]","[323.9129, 324.1266, 324.19309999999996, 324.6294, 324.9081, 325.0704, 325.30789999999996]"
96,"[26, 63, 37, 73, 37, 72]","[0.5557000000000016, 0.294399999999996, 0.2874999999999659, 0.28560000000004493, 0.3622999999999479, 0.44530000000003156]","[326.6068, 327.1625, 327.4569, 327.7444, 328.03000000000003, 328.3923]"
97,"[21, 16, 63, 37, 72]","[0.49439999999998463, 0.28880000000003747, 0.2537999999999556, 0.3020000000000209, 1.0398999999999887]","[328.8376, 329.332, 329.62080000000003, 329.8746, 330.1766]"
98,"[21, 16, 66, 63, 33, 37, 72]","[0.41109999999997626, 0.22750000000002046, 0.35190000000000055, 0.26979999999997517, 0.20470000000000255, 0.3423000000000229, 1.4977999999999838]","[331.2165, 331.6276, 331.8551, 332.207, 332.47679999999997, 332.68149999999997, 333.0238]"
99,"[21, 16, 63, 33, 37, 72]","[0.325300000000027, 0.23469999999997526, 0.24729999999999563, 0.098700000000008, 0.21739999999999782, 1.4021000000000186]","[334.5216, 334.8469, 335.0816, 335.3289, 335.4276, 335.645]"
100,"[21, 16, 63, 37, 72]","[0.4146000000000072, 0.26480000000003656, 0.25679999999999836, 0.3079999999999927, 1.3158999999999992]","[337.0471, 337.4617, 337.72650000000004, 337.98330000000004, 338.29130000000004]"
