,Group,error scores,"error breakdown [seq,spatial,repeat,other]",pscores,tscores,transition_matrix,animal,type,mean latencies,standard dev latencies
0,Early Learning,[0.28772127 0.63697668 0.07530205],[0.34891928 0.06219674 0.53947949 0.0494045 ],"[0.02830188679245283, 0.17676767676767677, 0.33871635610766043]","[0.4289308176100629, 0.7513708513708514, 0.6128364389233953]","[[3.0, 1.0, 5.0, 6.0], [9.0, 54.0, 25.0, 2.0], [7.0, 9.0, 5.0, 32.0], [31.0, 7.0, 140.0, 400.0], [126.0, 7.0, 204.0, 258.0], [203.0, 203.0, 174.0, 11.0], [228.0, 185.0, 53.0, 8.0], [303.0, 62.0, 114.0, 143.0]]",EJT155,lesion,0.8018301886792496,0.3788069693551652
1,Pre Lesion,[0.758485   0.23635022 0.00516478],[0.32882414 0.03381894 0.62903226 0.00832466],"[0.8136666666666666, 0.8723511214230472, 0.8362068965517241]","[0.9357222222222222, 0.9552397525135345, 0.9526819923371647]","[[2.0, 1.0, 1.0, 3.0], [2.0, 11.0, 3.0, 0.0], [0.0, 3.0, 2.0, 5.0], [12.0, 1.0, 56.0, 1497.0], [29.0, 104.0, 1372.0, 317.0], [136.0, 1317.0, 165.0, 4.0], [1388.0, 82.0, 4.0, 22.0], [469.0, 33.0, 35.0, 133.0]]",EJT155,lesion,0.33597309699478073,0.10740872093258433
2,Post Lesion,[0.55879781 0.43278689 0.0084153 ],[0.44520202 0.03383838 0.50858586 0.01237374],"[0.12634408602150538, 0.6681793179317931, 0.7615810674723061]","[0.848524414653447, 0.875140133060925, 0.9232124874118831]","[[1.0, 0.0, 0.0, 0.0], [1.0, 22.0, 15.0, 0.0], [5.0, 2.0, 1.0, 7.0], [24.0, 10.0, 114.0, 1611.0], [120.0, 338.0, 1099.0, 767.0], [98.0, 995.0, 368.0, 99.0], [1127.0, 169.0, 54.0, 113.0], [408.0, 108.0, 95.0, 184.0]]",EJT155,lesion,0.4358375337908119,0.1868718450886215
0,Early Learning,[0.26489028 0.67868339 0.05642633],[0.48036952 0.0369515  0.44726713 0.03541186],"[0.007575757575757575, 0.0, 0.13414634146341464]","[0.32954545454545453, 0.7808641975308642, 0.6922764227642276]","[[3.0, 7.0, 2.0, 7.0], [3.0, 29.0, 21.0, 5.0], [7.0, 15.0, 7.0, 10.0], [19.0, 17.0, 95.0, 244.0], [79.0, 37.0, 72.0, 177.0], [154.0, 72.0, 102.0, 15.0], [213.0, 220.0, 55.0, 14.0], [141.0, 162.0, 79.0, 83.0]]",EJT156,lesion,1.0656720379146947,0.46486409803797746
1,Pre Lesion,[0.67734334 0.31855472 0.00410194],[0.31424658 0.05424658 0.62493151 0.00657534],"[0.7354166666666667, 0.7722305017386986, 0.7945134575569358]","[0.9131696428571429, 0.948360655737705, 0.9688516711032238]","[[2.0, 4.0, 1.0, 0.0], [3.0, 15.0, 2.0, 1.0], [3.0, 2.0, 0.0, 1.0], [7.0, 9.0, 185.0, 1987.0], [18.0, 35.0, 1751.0, 1486.0], [254.0, 1808.0, 205.0, 6.0], [1624.0, 135.0, 130.0, 71.0], [313.0, 102.0, 18.0, 151.0]]",EJT156,lesion,0.32799727310865534,0.18512054805401867
2,Post Lesion,[0.06571936 0.86323268 0.07104796],[0.14197531 0.03703704 0.81069959 0.01028807],"[0.0, 0.0, 0.0, 0.0]","[0.25438596491228066, 0.0, 0.0, 0.0]","[[2.0, 0.0, 2.0, 2.0], [3.0, 1.0, 6.0, 0.0], [2.0, 2.0, 3.0, 4.0], [13.0, 5.0, 18.0, 47.0], [45.0, 8.0, 2.0, 99.0], [12.0, 2.0, 29.0, 6.0], [8.0, 29.0, 8.0, 6.0], [117.0, 23.0, 9.0, 19.0]]",EJT156,lesion,1.0606218750000025,0.5567893984344592
0,Early Learning,[0.24474187 0.63575526 0.11950287],[0.40225564 0.04586466 0.51654135 0.03533835],"[0.00980392156862745, 0.1619718309859155, 0.2102102102102102]","[0.25816993464052285, 0.5633802816901409, 0.5225225225225225]","[[4.0, 3.0, 14.0, 9.0], [0.0, 0.0, 0.0, 0.0], [12.0, 14.0, 23.0, 35.0], [17.0, 5.0, 73.0, 208.0], [97.0, 37.0, 88.0, 177.0], [100.0, 189.0, 124.0, 17.0], [238.0, 279.0, 59.0, 28.0], [231.0, 111.0, 113.0, 136.0]]",EJT157,lesion,1.116499793814443,0.41883957126036375
1,Pre Lesion,[0.7302682  0.26628352 0.00344828],[0.441247   0.04316547 0.50839329 0.00719424],"[0.7472504230118442, 0.6240126832232095, 0.7797456857402361]","[0.8995346869712351, 0.9368497000075948, 0.9603996366939147]","[[0.0, 3.0, 5.0, 3.0], [0.0, 0.0, 0.0, 0.0], [2.0, 6.0, 1.0, 7.0], [20.0, 11.0, 68.0, 1467.0], [62.0, 129.0, 1152.0, 211.0], [176.0, 1058.0, 136.0, 4.0], [1295.0, 263.0, 10.0, 9.0], [425.0, 204.0, 43.0, 88.0]]",EJT157,lesion,0.35943987817258877,0.12590789238994077
2,Post Lesion,[0.28658228 0.67696203 0.0364557 ],[0.3934181  0.1473448  0.44053852 0.01869858],"[0.011594202898550725, 0.11235955056179775, 0.018518518518518517]","[0.41304347826086957, 0.4940074906367041, 0.12345679012345678]","[[11.0, 4.0, 7.0, 4.0], [0.0, 0.0, 0.0, 0.0], [11.0, 4.0, 5.0, 3.0], [76.0, 14.0, 157.0, 292.0], [51.0, 18.0, 60.0, 155.0], [97.0, 109.0, 84.0, 23.0], [119.0, 72.0, 15.0, 17.0], [120.0, 52.0, 70.0, 77.0]]",EJT157,lesion,0.6097081349206361,0.3365913950408862
0,Early Learning,[0.44609394 0.49087369 0.06303237],[0.48388696 0.0629648  0.38869608 0.06445216],"[0.1590909090909091, 0.4321621621621622, 0.6322160148975791]","[0.6265151515151515, 0.8138738738738739, 0.8603351955307262]","[[2.0, 2.0, 4.0, 2.0], [3.0, 15.0, 32.0, 0.0], [9.0, 7.0, 17.0, 42.0], [29.0, 3.0, 104.0, 514.0], [209.0, 20.0, 370.0, 186.0], [145.0, 406.0, 143.0, 31.0], [399.0, 228.0, 74.0, 19.0], [209.0, 105.0, 115.0, 194.0]]",EJT159,lesion,0.7788371447455413,0.4157704181433355
1,Pre Lesion,[0.55223663 0.44586915 0.00189422],[0.40735294 0.02696078 0.56388889 0.00179739],"[0.7892924976258309, 0.7554012345679012, 0.8064165307232191]","[0.9819563152896487, 0.9453835978835978, 0.9746057640021752]","[[2.0, 2.0, 0.0, 0.0], [1.0, 2.0, 4.0, 1.0], [1.0, 2.0, 0.0, 2.0], [4.0, 6.0, 159.0, 2055.0], [15.0, 47.0, 1820.0, 460.0], [316.0, 1789.0, 749.0, 6.0], [1752.0, 1328.0, 123.0, 112.0], [778.0, 1288.0, 21.0, 132.0]]",EJT159,lesion,0.3085380129589642,0.12280746801503288
2,Post Lesion,[0.31670016 0.67682518 0.00647466],[0.35263071 0.10110506 0.54148111 0.00478311],"[0.10903703703703703, 0.045019157088122604, 0.0]","[0.905574746241413, 0.8817393334634714, 0.0]","[[2.0, 1.0, 2.0, 3.0], [4.0, 7.0, 2.0, 1.0], [0.0, 1.0, 1.0, 4.0], [49.0, 55.0, 523.0, 1687.0], [32.0, 18.0, 131.0, 146.0], [287.0, 298.0, 176.0, 7.0], [329.0, 69.0, 21.0, 10.0], [148.0, 38.0, 36.0, 121.0]]",EJT159,lesion,0.3528695598519156,0.12680732792402943
0,Early Learning,[0.40643275 0.53174603 0.06182122],[0.44304792 0.04163394 0.46582875 0.0494894 ],"[0.0, 0.2879084967320262, 0.674628450106157]","[0.524390243902439, 0.8374183006535947, 0.8641188959660296]","[[3.0, 1.0, 4.0, 4.0], [8.0, 36.0, 14.0, 3.0], [6.0, 9.0, 8.0, 12.0], [16.0, 0.0, 66.0, 328.0], [61.0, 26.0, 239.0, 109.0], [155.0, 216.0, 132.0, 10.0], [285.0, 134.0, 77.0, 9.0], [201.0, 132.0, 79.0, 87.0]]",EJT161,lesion,1.0435347137636999,0.4175810421910794
1,Pre Lesion,[0.74207835 0.25618179 0.00173986],[0.3426631  0.01831653 0.6351101  0.00391027],"[0.7294784580498866, 0.7196943186496501, 0.8310869565217391]","[0.9874610260770976, 0.941018251681076, 0.985]","[[1.0, 0.0, 2.0, 1.0], [1.0, 11.0, 4.0, 1.0], [3.0, 2.0, 3.0, 1.0], [11.0, 6.0, 78.0, 3340.0], [66.0, 337.0, 3065.0, 665.0], [634.0, 2561.0, 1103.0, 50.0], [2734.0, 388.0, 80.0, 47.0], [907.0, 156.0, 57.0, 51.0]]",EJT161,lesion,0.3034973118739845,0.1101994482454245
2,Post Lesion,[0.15647668 0.78756477 0.05595855],[0.25131579 0.02631579 0.69078947 0.03157895],"[0.0, 0.0, 0.0]","[0.4777777777777778, 0.23404255319148937, 0.03125]","[[2.0, 3.0, 6.0, 2.0], [2.0, 17.0, 2.0, 1.0], [7.0, 3.0, 1.0, 1.0], [11.0, 1.0, 17.0, 56.0], [31.0, 8.0, 38.0, 72.0], [71.0, 16.0, 143.0, 2.0], [51.0, 167.0, 15.0, 12.0], [127.0, 61.0, 34.0, 16.0]]",EJT161,lesion,0.9660358778625671,0.40594442350191584
0,Early Learning,[0.18897929 0.65606509 0.15495562],[0.27564825 0.01972943 0.64430665 0.06031567],"[0.07113821138211382, 0.17307692307692307, 0.5094696969696969]","[0.556910569105691, 0.5384615384615384, 0.6231060606060606]","[[5.0, 12.0, 12.0, 10.0], [9.0, 66.0, 30.0, 2.0], [6.0, 14.0, 9.0, 29.0], [17.0, 4.0, 46.0, 225.0], [74.0, 43.0, 123.0, 285.0], [105.0, 104.0, 155.0, 11.0], [224.0, 244.0, 30.0, 13.0], [409.0, 89.0, 97.0, 105.0]]",EJT85,lesion,1.0184034334763823,0.4841103573121164
1,Pre Lesion,[0.60241638 0.3951225  0.00246113],[0.1707248  0.01387316 0.8117214  0.00368063],"[0.8442477876106195, 0.8843696027633852, 0.8783482142857143]","[0.9408259587020648, 0.9421416234887736, 0.9479166666666667]","[[2.0, 0.0, 0.0, 0.0], [2.0, 7.0, 2.0, 2.0], [1.0, 2.0, 1.0, 0.0], [11.0, 2.0, 46.0, 1229.0], [9.0, 33.0, 1199.0, 1589.0], [94.0, 1220.0, 365.0, 1.0], [1207.0, 218.0, 17.0, 44.0], [278.0, 84.0, 66.0, 109.0]]",EJT85,lesion,0.37426784605834806,0.1515611939472374
2,Post Lesion,[0.22974433 0.6953547  0.07490097],[0.22475401 0.05023304 0.69963749 0.02537545],"[0.08181818181818182, 0.0, 0.19879518072289157, 0.08928571428571429, 0.4230769230769231]","[0.41090909090909095, 0.1111111111111111, 0.5539873780837636, 0.29166666666666663, 0.6057692307692307]","[[5.0, 4.0, 10.0, 11.0], [25.0, 28.0, 28.0, 6.0], [9.0, 3.0, 9.0, 10.0], [50.0, 20.0, 102.0, 253.0], [51.0, 54.0, 154.0, 220.0], [81.0, 123.0, 161.0, 32.0], [153.0, 149.0, 19.0, 37.0], [226.0, 59.0, 43.0, 75.0]]",EJT85,lesion,0.7221295221842988,0.3706341730570083
